Player Name,Goals Conceded by team per season,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,49,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,A58,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLR48,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Lucas Lima,54,NAN,FRAN,D,38,3382,38,0,0,4,1,1,1,2,0,1,1,22,7,49,318,80,65,9,38,25,6,125,100,37,29,982,1391,44,44,250,33,230,0,3,6,2,1,16,5,0,0,0,32,0,2756,20,287,188,631,18,366,2,912,187,2,1,1,0,24,6,103,94,35,11,5,0,53,10,0,0,0,0,1,0,0,97,94,0,81,0,0,4,1,1,62
53llaume Gillet,54,NAN,FRAN,M/D,38,3368,38,0,2,5,0,0,3,0,1,0,0,47,13,78,7,5,20,2,20,0,10,88,65,35,30,1521,1834,5,101,276,19,232,0,0,26,8,2,21,5,1,0,0,26,0,2347,45,304,207,767,5,28,0,382,203,0,0,0,0,0,0,2,0,5,0,0,0,51,10,0,0,0,0,0,0,0,90,86,0,102,0,0,1,2,0,29
Heurelho Gomes,68,WAT,EPL,G,38,3339,38,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,3,505,1034,0,13,387,1,17,1,1,0,0,0,0,0,0,0,0,0,1,1460,0,75,2,242,0,13,0,572,258,0,0,0,0,0,0,0,0,1,0,0,0,64,6,115,68,45,29,1,4,1,58,58,34,306,0,0,0,0,0,1
Vincent Le Goff,70,FCL,FRAN,D,38,3335,37,1,0,5,0,0,1,1,1,1,0,10,5,74,71,5,15,1,14,0,6,70,52,30,16,1554,1828,5,41,243,29,156,0,0,7,5,1,3,0,0,0,0,31,0,2735,33,358,120,780,32,84,0,471,249,0,0,0,0,0,0,0,0,17,0,0,0,69,4,0,0,0,0,1,0,0,83,80,0,93,0,0,1,0,0,38
Andrea Consigli,63,SAS,SERI,G,37,3330,37,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,6,601,1086,0,9,333,1,15,1,3,0,0,0,0,0,0,0,0,0,1,1499,0,25,2,102,0,8,0,500,103,0,0,0,0,0,0,0,0,0,0,0,0,56,7,133,79,51,10,1,8,2,43,41,26,296,0,0,0,0,0,1
Antonio Adan,64,BET,LIGA,G,37,3330,37,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,1,3,608,1157,0,12,329,2,16,0,0,0,0,0,0,0,0,0,0,0,0,1507,0,51,4,251,0,6,0,560,252,0,0,0,0,0,0,0,0,1,0,0,0,62,10,127,70,56,25,1,5,1,40,40,21,379,0,0,0,0,0,2
Pepe Reina,39,NAP,SERI,G,37,3330,37,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,6,791,1028,0,4,372,1,10,3,1,0,0,0,0,0,0,0,0,0,0,1437,0,19,3,52,0,3,0,245,57,0,0,0,0,0,0,0,0,0,0,0,0,38,12,86,54,31,35,0,4,1,27,27,8,216,0,0,0,0,0,1
Baptiste Reynet,58,DIJ,FRAN,G,37,3330,37,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,15,714,1197,0,20,363,2,32,3,4,0,0,0,0,0,0,0,0,0,0,1660,0,57,3,225,0,20,0,499,226,0,0,0,0,0,0,0,0,3,0,0,0,58,9,130,78,51,22,0,11,1,50,44,23,311,0,0,0,0,0,2
Gianmarco Ferrari,58,CRO,SERI,D,37,3330,37,0,0,8,0,0,3,1,1,0,1,10,6,79,4,1,8,1,6,1,33,62,45,53,32,662,943,1,52,140,4,145,0,3,10,6,3,0,0,0,0,0,6,0,1434,23,130,114,307,14,33,3,314,179,0,0,0,0,0,0,0,0,4,0,0,0,56,4,0,0,0,0,3,0,0,177,173,0,110,0,0,1,0,2,6
55ir Handanovic,49,INT,SERI,G,37,3330,37,0,0,4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,2,0,3,571,804,0,1,302,1,11,2,1,1,0,0,0,0,0,0,0,0,1,1244,1,20,1,83,0,0,0,249,89,0,0,0,0,0,0,0,0,0,0,0,0,47,9,110,62,47,15,0,6,1,22,21,12,171,0,0,0,0,0,1
Lukasz Fabianski,70,SWA,EPL,G,37,3330,37,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,3,554,928,0,14,329,0,19,5,3,0,0,0,0,0,0,0,0,0,0,1336,0,56,3,269,0,8,0,385,268,0,0,0,0,0,0,0,0,0,0,0,0,69,8,117,64,51,21,1,8,1,21,21,16,335,0,0,0,0,0,0
Gylfi Sigurdsson,70,SWA,EPL,M,38,3328,37,1,2,2,0,0,9,13,2,5,8,116,50,37,302,86,79,17,20,43,3,45,30,18,33,802,1041,12,7,121,31,115,0,0,43,15,5,73,35,4,0,0,41,0,1903,98,314,141,620,4,364,0,621,40,3,3,0,0,64,15,183,169,53,21,16,2,70,7,0,0,0,0,0,0,0,23,23,0,34,4,0,1,3,4,67
Nathaniel Clyne,42,LIV,EPL,D,37,3324,37,0,1,0,0,0,0,2,0,2,0,26,5,42,97,18,45,5,43,0,3,80,61,14,20,1498,1796,18,13,173,22,134,1,0,14,2,0,12,3,0,0,0,21,0,2694,56,598,116,1035,12,121,0,516,120,0,0,0,0,0,0,0,0,21,0,0,0,41,12,0,0,0,0,0,0,0,54,44,0,45,0,0,1,1,0,39
Jermain Defoe,69,SUN,EPL,F,37,3322,37,0,2,1,0,0,15,2,0,2,0,99,31,3,19,3,20,0,18,0,2,20,13,25,28,361,456,3,2,73,28,78,0,0,72,28,15,27,3,0,0,0,40,0,830,147,152,112,230,3,34,0,240,11,5,5,0,0,0,0,0,0,21,2,1,0,63,6,0,0,0,0,0,0,0,2,2,0,6,0,0,36,7,10,49
Ellyes Skhiri,66,MON,FRAN,M,37,3286,37,0,5,3,0,0,1,1,0,0,1,33,6,102,6,0,22,3,21,0,9,104,70,43,24,1521,1794,0,99,231,40,262,1,3,13,1,0,20,5,1,0,0,32,1,2390,37,276,222,735,12,30,0,348,178,0,0,0,0,0,0,0,0,3,0,0,0,62,6,0,0,0,0,2,0,0,79,79,0,121,1,0,2,4,0,48
Anthony Lopes,48,OL,FRAN,G,37,3285,37,0,0,0,0,0,0,1,0,1,0,0,0,7,0,0,3,1,2,0,0,1,0,0,9,732,1040,0,10,323,1,20,2,2,0,0,0,0,0,0,0,0,0,0,1449,1,23,4,100,0,8,0,316,100,0,0,0,0,0,0,0,0,1,0,0,0,46,13,90,56,33,38,0,6,1,35,34,18,199,0,0,0,0,0,2
Gerard Moreno,50,ESP,LIGA,F,37,3280,37,0,4,6,0,0,13,4,0,4,0,82,33,31,33,5,32,4,28,0,8,56,40,52,49,759,1065,5,97,159,47,244,0,0,62,31,13,20,2,0,0,0,55,0,1691,126,226,330,471,2,67,0,539,57,1,0,0,1,0,0,0,0,19,0,0,0,47,8,0,0,0,0,0,0,0,38,37,0,68,2,0,12,2,6,95
