Player Name,Goals Conceded by team per season,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,49,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,A58,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLR48,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Naby Keita,39,RBL,BUND,M,31,2412,29,2,9,8,0,0,8,7,0,6,1,43,14,82,8,1,40,8,33,0,8,81,54,70,52,1165,1425,0,20,262,81,231,1,0,23,12,7,20,2,1,1,0,50,0,2050,61,304,250,642,4,73,0,439,105,0,0,0,0,1,1,4,3,9,1,0,0,30,5,0,0,0,0,0,0,0,28,28,0,48,7,0,1,1,4,127
Mark Noble,64,WHU,EPL,M,30,2398,29,1,11,10,0,0,3,0,1,0,0,25,7,38,22,3,24,1,23,1,6,50,31,27,43,1237,1436,3,3,179,15,110,0,2,9,4,3,16,3,0,0,0,22,0,1766,23,305,104,686,3,56,0,278,163,2,1,0,1,0,0,1,0,10,1,1,1,40,7,0,0,0,0,0,0,0,12,11,0,127,1,0,1,1,2,24
Daniel Wass,69,CEL,LIGA,M/D,32,2393,29,3,17,4,0,0,3,4,0,2,2,41,13,24,123,32,47,8,23,21,5,38,29,21,41,864,1144,3,67,134,12,154,0,0,11,6,1,30,7,2,1,0,36,2,1619,38,288,168,573,2,167,0,483,67,0,0,0,0,27,8,83,68,19,11,4,1,45,3,0,0,0,0,0,0,0,40,36,0,61,2,0,5,3,1,25
Yan36k Cahuzac,54,BST,FRAN,M,29,2384,29,0,3,5,3,4,1,0,0,0,0,22,6,99,8,0,12,1,12,0,10,65,46,54,35,860,1023,0,44,176,14,154,1,0,6,2,1,16,4,0,0,0,21,0,1452,14,139,143,350,1,21,0,225,90,0,0,0,0,0,0,1,1,5,0,0,0,32,7,0,0,0,0,1,0,0,62,60,0,47,1,0,2,1,1,18
Domenico Maietta,58,BOL,SERI,D,29,2379,29,0,6,8,0,0,0,1,0,1,0,4,1,79,8,3,6,1,5,0,16,62,51,31,12,1080,1292,3,28,153,7,108,1,2,2,0,0,2,1,0,0,0,6,0,1678,9,87,99,320,11,31,0,252,184,0,0,0,0,0,0,0,0,4,0,0,0,35,7,0,0,0,0,0,0,0,123,114,0,102,0,0,0,0,0,9
Marco Sau,76,CAG,SERI,F,34,2340,29,5,23,5,0,0,7,5,0,4,1,49,25,20,17,2,20,2,15,0,0,26,23,47,53,529,661,2,4,123,29,111,0,0,41,23,7,8,2,0,0,0,73,0,1052,97,143,167,273,2,39,0,290,19,0,0,0,0,0,0,0,0,14,0,0,0,51,1,0,0,0,0,0,0,0,3,3,0,20,1,0,28,6,4,41
Th41as Lemar,31,ASM,FRAN,M,34,2611,28,6,8,1,0,0,9,10,4,5,5,59,21,28,225,57,74,14,35,27,0,51,37,23,47,1044,1257,14,10,173,52,160,0,0,19,11,7,40,10,2,1,1,59,0,2012,71,433,168,777,9,265,0,565,84,0,0,0,0,28,6,138,105,28,17,4,1,23,11,0,0,0,0,0,0,0,12,12,0,79,3,0,7,3,5,84
Aaron,50,ESP,LIGA,M,30,2587,28,2,0,5,0,0,0,0,0,0,0,3,1,51,121,26,22,1,14,7,9,69,48,47,26,804,1042,18,23,147,40,156,1,0,0,0,0,3,1,0,0,0,36,0,1870,7,175,154,399,19,119,0,453,57,0,0,0,0,13,4,18,18,6,1,1,0,30,10,0,0,0,0,0,0,0,62,61,0,44,0,0,2,0,0,63
Dries Mertens,39,NAP,SERI,F,35,2566,28,7,13,6,0,0,28,9,4,9,0,148,67,9,45,8,57,13,47,2,2,25,15,43,55,614,803,7,3,64,61,144,0,0,89,50,24,59,17,4,0,1,32,0,1395,233,292,166,504,0,92,0,410,21,3,2,0,1,0,0,3,2,35,14,3,2,29,2,0,0,0,0,0,0,0,9,8,0,19,7,0,16,19,19,129
Mariano,49,SEV,LIGA,D,30,2553,28,2,1,8,0,0,0,2,0,2,0,9,3,39,108,28,34,4,30,1,5,69,49,27,23,1024,1265,28,13,173,31,136,0,0,4,3,0,5,0,0,0,0,16,0,2021,32,312,115,581,15,167,1,471,100,0,0,0,0,1,0,0,0,19,0,0,0,36,10,0,0,0,0,0,0,0,31,30,0,74,0,0,1,0,0,50
Nabil Bentaleb,40,S04,BUND,M,32,2551,28,4,9,12,0,0,5,5,1,5,0,42,11,54,27,4,31,5,24,2,6,38,22,34,28,1268,1559,4,45,189,39,148,2,2,15,6,4,27,5,1,0,0,30,0,1970,34,287,129,626,2,90,0,421,154,1,1,0,0,0,0,0,0,4,1,1,0,35,4,0,0,0,0,0,0,0,25,25,0,112,9,2,0,1,2,66
Younes Belhanda,36,NIC,FRAN,M,31,2539,28,3,3,8,0,1,3,6,1,6,0,35,13,11,5,0,42,5,35,0,3,45,35,43,40,1186,1421,0,16,127,31,131,0,0,15,5,1,20,8,2,0,1,64,0,1858,40,324,169,675,1,59,0,405,58,0,0,0,0,1,0,1,0,9,0,0,0,27,6,0,0,0,0,0,0,0,9,9,0,25,6,0,6,2,2,54
Kevin Kampl,55,LEV,BUND,M,30,2539,28,2,1,4,0,0,1,2,3,2,0,34,8,66,37,8,39,4,33,4,4,52,40,34,18,1478,1764,4,13,212,49,131,2,0,9,3,1,25,5,0,0,0,35,0,2241,20,451,170,903,6,118,0,447,136,0,0,0,0,2,1,20,13,11,1,0,0,45,5,0,0,0,0,0,0,0,6,6,0,112,4,1,2,0,1,92
Giovanni Simeone,64,GEN,SERI,F,34,2528,28,6,8,3,0,0,12,1,1,1,0,76,25,7,27,3,18,4,17,0,3,28,24,63,39,287,437,3,55,72,14,131,0,0,65,22,12,11,3,0,0,0,55,0,881,148,115,277,189,0,31,0,348,6,2,1,1,0,0,0,0,0,19,0,0,0,44,3,0,0,0,0,0,0,0,20,20,0,9,0,0,23,10,9,43
Lee Grant,56,STO,EPL,G,28,2520,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,508,879,0,10,241,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1147,0,70,1,292,0,12,0,377,292,0,0,0,0,0,0,0,0,0,0,0,0,34,9,91,50,41,19,0,0,0,35,34,21,339,0,0,0,0,0,0
Victor Valdes,53,MID,EPL,G,28,2520,28,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,4,473,888,0,6,239,0,9,2,1,0,0,0,0,0,0,0,0,0,0,1126,1,32,1,224,0,3,0,420,225,0,0,0,0,0,0,0,0,0,0,0,0,36,8,80,50,30,21,0,3,0,29,29,14,296,0,1,0,0,0,0
Simon Mignolet,42,LIV,EPL,G,28,2520,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,494,805,0,19,280,3,25,1,0,0,0,0,0,0,0,0,0,0,0,1077,0,24,1,95,0,3,0,316,95,0,0,0,0,0,0,0,0,0,0,0,0,30,9,53,33,20,21,0,4,2,28,28,22,146,0,0,0,0,0,3
Ahmed Elmohamady,80,HUL,EPL,D,33,2520,28,5,1,3,0,1,0,2,0,2,0,9,2,49,123,19,26,2,24,0,8,42,35,22,13,1056,1370,19,58,186,11,124,0,0,4,1,0,5,1,0,0,0,19,1,2094,21,252,104,532,18,114,1,507,95,0,0,0,0,0,0,0,0,12,0,0,0,59,3,0,0,0,0,1,0,0,90,86,0,71,0,0,1,0,0,19
Willi Orban,39,RBL,BUND,D,28,2518,28,0,0,7,1,1,3,1,0,0,1,23,10,67,0,0,3,1,2,0,11,68,51,31,32,1146,1407,0,124,138,1,220,1,0,23,10,3,0,0,0,0,0,7,0,1824,37,79,112,370,9,9,0,294,200,0,0,0,0,0,0,0,0,5,0,0,0,30,7,0,0,0,0,0,0,0,139,126,0,82,0,0,2,0,3,3
Steven Moreira,70,FCL,FRAN,D,28,2515,28,0,1,6,0,0,0,3,0,3,0,8,0,37,81,17,19,4,16,0,5,43,29,23,12,930,1168,17,14,134,15,84,0,0,4,0,0,4,0,0,0,0,9,0,1841,22,236,79,507,19,95,1,413,131,0,0,0,0,0,0,1,1,10,0,0,0,49,3,0,0,0,0,1,0,0,40,36,0,49,0,0,3,0,0,27
Ryan Bertrand,48,SOU,EPL,M/D,28,2508,28,0,1,3,0,0,2,4,0,4,0,19,6,46,99,15,28,3,21,2,10,37,23,24,36,1090,1307,13,42,140,14,126,0,0,8,3,2,11,3,0,0,0,14,0,2040,54,326,119,628,19,113,0,419,81,0,0,0,0,2,1,12,11,23,1,0,0,36,12,0,0,0,0,1,0,0,46,46,0,35,1,0,2,0,0,39
Kiko Femenia,43,ALA,LIGA,D,31,2503,28,3,5,6,0,0,0,2,0,2,0,5,1,45,67,17,20,4,16,2,4,50,42,17,22,968,1166,16,11,152,33,115,0,0,3,0,0,2,1,0,0,0,29,0,1832,17,196,85,444,8,79,0,367,112,0,0,0,0,0,0,4,3,7,0,0,0,25,10,0,0,0,0,0,0,0,40,37,0,45,0,0,6,0,0,50
Victor Camarasa,43,ALA,LIGA,M,31,2503,28,3,15,4,0,0,3,1,0,1,0,32,8,13,32,6,28,7,24,3,1,32,22,31,28,806,954,2,18,102,24,101,0,0,22,8,3,10,0,0,0,0,65,0,1349,39,268,169,502,3,52,0,338,40,0,0,0,0,1,0,17,14,10,0,0,0,26,5,0,0,0,0,0,0,0,13,13,0,42,3,0,10,7,3,42
Leonardo Spinazzola,41,ATA,SERI,M/D,30,2500,28,2,7,2,0,0,0,5,1,5,0,15,0,32,106,34,46,6,40,1,4,27,21,21,18,1009,1261,34,13,206,61,119,1,0,8,0,0,7,0,0,0,0,38,1,1986,70,338,134,632,14,120,0,502,70,0,0,0,0,0,0,0,0,28,0,0,0,33,9,0,0,0,0,0,0,0,31,30,0,80,1,1,2,2,0,111
Toni Kroos,41,RMA,LIGA,M,29,2500,28,1,4,6,0,0,3,12,0,4,8,33,12,32,153,45,80,10,38,30,3,74,55,26,34,1910,2071,3,11,153,28,147,0,0,8,4,2,25,8,1,0,0,14,0,2526,24,525,103,1159,0,196,0,325,238,0,0,0,0,34,14,135,105,14,0,0,0,28,5,0,0,0,0,0,0,0,10,10,0,235,3,0,0,0,1,35
Armando Izzo,64,GEN,SERI,D,28,2498,28,0,2,5,0,0,0,2,0,2,0,7,1,74,17,7,16,0,12,2,8,60,45,32,40,1186,1411,7,35,195,22,154,0,1,4,1,0,3,0,0,0,0,15,1,1952,11,239,93,551,10,43,0,292,146,0,0,0,0,0,0,0,0,4,0,0,0,44,7,0,0,0,0,0,0,0,95,89,0,120,0,1,2,2,0,23
Zlatko Junuzovic,64,SVW,BUND,M,30,2496,28,2,4,5,0,0,4,8,1,4,4,44,14,69,93,29,50,7,20,22,6,46,34,46,59,803,1075,6,14,111,13,128,0,1,22,7,3,22,7,1,0,1,16,0,1589,48,287,161,554,3,187,1,443,91,0,0,0,0,11,3,64,57,16,6,4,0,49,3,0,0,0,0,0,0,0,22,22,0,57,0,0,5,0,2,40
Koffi Djidji,54,NAN,FRAN,D,28,2494,28,0,3,7,0,0,0,0,0,0,0,7,0,59,2,0,1,0,1,0,20,62,43,37,8,769,984,0,36,141,5,110,1,1,4,0,0,3,0,0,0,0,4,0,1334,6,63,90,217,6,16,2,234,120,0,0,0,0,0,0,0,0,0,0,0,0,39,5,0,0,0,0,2,0,0,134,133,0,73,0,0,2,0,0,5
Silvan Widmer,56,UDI,SERI,M,28,2492,28,0,1,2,0,0,0,4,0,4,0,5,1,41,81,14,19,2,14,1,7,72,57,21,31,727,922,14,19,141,17,139,2,0,4,1,0,1,0,0,0,0,21,0,1722,22,144,101,385,25,99,1,412,141,0,0,0,0,1,0,1,0,14,0,0,0,42,6,0,0,0,0,0,0,0,74,71,0,58,0,0,1,0,0,32
Sergio Ramos,41,RMA,LIGA,D,28,2489,28,0,1,8,0,1,7,0,0,0,0,35,10,57,3,1,6,0,6,0,15,41,31,35,37,1533,1711,1,75,172,7,155,0,3,31,9,7,4,1,0,0,0,4,1,2084,44,150,82,609,2,18,1,212,304,0,0,0,0,0,0,0,0,1,3,1,0,34,5,0,0,0,0,3,0,0,99,99,0,154,0,0,4,4,2,7
Granit Xhaka,44,ARS,EPL,M,32,2486,28,4,5,5,0,2,2,2,2,2,0,34,9,39,26,5,35,3,30,2,5,77,55,37,19,2055,2294,1,34,215,19,148,1,1,2,1,0,32,8,2,0,0,22,0,2681,13,623,129,1333,3,102,0,327,242,0,0,0,0,2,0,21,16,7,1,0,0,31,7,0,0,0,0,2,0,0,34,33,0,182,5,0,1,0,0,26
Michael Esser,63,D98,BUND,G,28,2485,28,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,6,535,967,0,11,312,0,14,0,1,1,0,0,0,0,0,0,0,0,0,1242,1,56,4,246,0,11,0,442,252,0,0,0,0,0,0,0,0,0,0,0,0,50,3,97,62,35,5,0,7,2,14,14,11,326,0,0,0,0,0,0
Mattia Destro,58,BOL,SERI,F,30,2473,28,2,6,4,0,0,11,0,1,0,0,60,27,6,8,1,13,1,13,0,1,20,15,40,43,320,444,1,49,38,18,127,0,0,41,21,11,19,6,0,0,1,47,0,806,94,97,197,190,2,23,0,271,13,1,0,0,1,0,0,0,0,9,0,0,0,38,8,0,0,0,0,0,0,0,30,30,0,9,0,0,30,10,8,34
Kalidou Koulibaly,39,NAP,SERI,D,28,2472,28,0,1,6,0,0,2,0,0,0,0,10,3,67,8,2,6,1,6,0,28,55,49,43,13,1743,1949,2,62,228,10,136,2,1,8,2,2,2,1,0,0,0,6,0,2329,24,113,102,722,8,19,0,244,373,0,0,0,0,0,0,0,0,10,0,0,0,23,11,0,0,0,0,0,0,0,114,110,0,97,0,1,2,0,2,12
Eder,47,LIL,FRAN,F,31,2470,28,3,4,3,0,0,6,4,0,3,1,67,22,6,26,4,33,5,28,0,4,11,7,60,53,498,694,4,83,54,17,159,0,0,53,20,6,14,2,0,0,2,62,0,1106,146,211,243,356,1,18,0,380,9,2,1,0,1,0,0,0,0,18,0,0,0,35,7,0,0,0,0,0,0,0,22,22,0,11,0,0,22,9,4,28
Oscar Wendt,49,BMG,BUND,D,28,2462,28,0,4,3,0,0,2,2,0,1,1,26,8,64,80,24,26,4,10,14,9,48,39,30,15,854,1068,9,17,113,4,84,1,1,12,6,2,14,2,0,1,0,15,0,1699,31,178,109,457,26,113,1,388,85,0,0,0,0,3,3,34,31,10,1,0,0,39,8,0,0,0,0,1,0,0,42,41,0,45,0,0,3,2,2,25
Fernando Llorente,70,SWA,EPL,F,33,2453,28,5,14,2,0,0,15,1,0,0,1,52,26,2,8,2,26,2,25,0,4,19,14,51,31,598,901,2,156,74,9,213,0,0,51,25,15,1,1,0,0,0,54,0,1256,164,224,248,411,0,25,0,446,9,0,0,0,0,0,0,0,0,7,0,0,0,51,1,0,0,0,0,0,0,0,36,35,0,18,0,0,12,5,8,20
Timo Werner,39,RBL,BUND,F/M,31,2433,28,3,19,4,0,0,21,5,1,5,0,74,37,21,49,9,32,5,26,1,1,25,19,23,32,480,709,9,27,73,21,104,0,0,70,36,21,4,1,0,1,1,27,0,1180,187,195,149,344,0,72,0,437,10,2,2,0,0,0,0,1,1,42,0,0,0,29,3,0,0,0,0,0,0,0,4,4,0,11,0,0,51,7,14,63
Adam Masina,58,BOL,SERI,M/D,32,2428,28,4,5,6,0,1,1,0,0,0,0,18,7,61,51,11,12,2,12,0,15,62,45,48,26,910,1245,11,88,153,25,199,0,0,11,4,1,7,3,0,0,0,26,0,2092,31,203,155,480,23,78,0,524,142,0,0,0,0,0,0,0,0,10,0,0,0,38,6,0,0,0,0,0,0,0,97,92,0,40,1,0,4,3,1,40
Maximilian Arnold,52,WOB,BUND,M,32,2421,28,4,5,9,0,0,2,3,0,2,1,48,15,47,51,16,33,1,20,10,5,41,32,53,88,990,1192,5,28,132,20,169,0,0,10,5,1,38,10,1,0,0,29,0,1646,23,238,163,557,2,81,0,329,102,0,0,0,0,6,2,16,16,16,6,3,0,41,6,0,0,0,0,0,0,0,17,17,0,107,0,0,1,1,1,34
Iker Muniain,43,ATH,LIGA,F/M,35,2412,28,7,14,5,0,0,7,2,1,2,0,41,18,15,45,6,39,2,35,1,0,40,26,32,83,862,1055,5,11,163,80,213,0,0,16,8,4,25,10,3,0,2,51,0,1606,78,409,181,667,0,116,0,408,35,0,0,0,0,2,0,18,11,19,1,1,1,26,2,0,0,0,0,0,0,0,1,1,0,42,2,0,3,1,3,129
Benat,43,ATH,LIGA,M,32,2410,28,4,15,9,0,0,1,5,0,2,3,35,11,36,199,61,72,6,19,48,3,56,36,25,26,1255,1500,2,14,266,18,113,0,0,2,1,0,33,10,1,0,0,15,0,2001,9,363,97,785,1,280,0,456,137,0,0,0,0,62,15,124,115,17,12,4,1,29,3,0,0,0,0,0,0,0,6,6,0,142,2,0,0,1,0,27
Alexandre Lacazette,48,OL,FRAN,F,30,2408,28,2,7,3,0,0,28,3,0,3,0,84,47,2,24,2,51,14,48,0,0,32,24,55,35,659,844,2,27,80,48,139,0,0,71,42,26,13,5,2,0,0,50,0,1283,197,333,185,531,0,84,0,358,36,12,10,0,2,0,0,2,0,28,6,3,0,34,6,0,0,0,0,0,0,0,2,2,0,13,7,0,30,13,24,65
Uche Agbo,82,GRA,LIGA,M,31,2384,28,3,9,12,1,2,0,0,0,0,0,13,2,56,12,4,25,0,24,1,6,78,52,81,25,1117,1310,4,45,192,34,181,1,0,2,1,0,11,1,0,0,0,34,0,1666,13,167,201,490,0,21,1,284,101,0,0,0,0,0,0,0,0,1,0,0,0,57,2,0,0,0,0,0,0,0,20,18,0,71,0,0,3,0,0,45
Andrej Kramaric,37,TSG,BUND,F/M,34,2374,28,6,15,1,0,0,15,8,0,8,0,99,38,19,46,13,37,9,28,1,2,10,7,13,35,694,835,13,7,79,29,80,0,0,58,24,12,41,14,3,0,0,47,0,1279,127,237,126,445,4,79,0,333,25,5,5,0,0,1,0,7,3,28,2,1,0,28,4,0,0,0,0,0,0,0,1,1,0,40,2,0,16,9,9,74
Vicente Gomez,74,LPM,LIGA,M,29,2321,28,1,11,3,0,0,2,0,0,0,0,23,10,41,4,0,12,0,12,0,6,46,31,26,66,1262,1407,0,47,115,17,171,0,1,19,8,2,4,2,0,0,0,29,0,1781,40,228,136,634,0,23,0,238,87,0,0,0,0,0,0,0,0,8,0,0,0,43,4,0,0,0,0,0,0,0,30,28,0,39,0,0,2,2,1,33
Sandro Ramirez,55,MAL,LIGA,F,30,2315,28,2,11,4,0,0,14,3,0,2,1,92,37,14,79,13,32,5,23,7,0,15,10,21,56,493,624,5,8,96,25,103,0,0,43,24,9,49,13,5,1,1,53,0,1106,111,198,117,356,0,102,0,365,18,1,0,0,1,19,2,44,23,17,9,4,3,34,3,0,0,0,0,0,0,0,2,2,0,29,2,0,24,3,4,51
Cheick Doukoure,72,MET,FRAN,M,30,2305,28,2,8,6,1,2,0,1,0,1,0,35,5,66,11,2,10,0,9,0,9,88,69,41,11,756,894,2,18,159,17,133,1,1,10,1,0,25,4,0,0,0,34,0,1316,21,152,138,405,3,15,0,238,76,0,0,0,0,0,0,0,0,4,1,1,0,47,6,0,0,0,0,0,0,0,25,23,0,48,0,0,1,0,0,21
Daniele Baselli,66,TOR,SERI,M,37,2298,28,9,21,6,0,0,6,5,1,5,0,41,13,49,12,3,27,2,22,0,3,70,53,48,30,1014,1218,2,11,196,24,135,0,1,22,8,6,19,5,0,0,0,25,0,1599,45,264,136,522,3,57,0,289,94,0,0,0,0,0,0,1,1,3,0,0,0,39,0,0,0,0,0,0,0,0,24,24,0,74,2,0,0,1,4,35
Famara Diedhiou,49,SCO,FRAN,F,31,2285,28,3,18,6,0,0,8,1,0,0,1,57,24,9,16,5,31,5,30,0,2,15,11,45,34,445,646,5,94,65,30,171,0,0,39,20,8,18,4,0,0,1,60,0,1050,96,179,237,305,0,35,0,400,15,2,1,0,1,0,0,0,0,11,0,0,0,36,2,0,0,0,0,0,0,0,12,10,0,17,1,0,16,9,6,59
Lucas Biglia,51,LAZ,SERI,M/D,29,2279,28,1,12,8,0,0,4,3,3,0,3,26,8,58,102,36,54,4,25,26,9,92,66,45,28,1408,1612,3,18,259,16,153,0,1,6,5,4,20,3,0,0,0,27,0,2086,11,309,134,759,6,142,0,325,192,5,3,1,1,17,5,97,74,6,4,0,0,35,2,0,0,0,0,1,0,0,18,17,0,142,1,0,0,2,4,18
Luca Rigoni,64,GEN,SERI,M,30,2267,28,2,12,13,0,0,2,1,0,1,0,26,8,25,20,5,13,1,12,0,3,58,47,57,39,693,857,4,34,139,8,135,0,0,17,5,2,9,3,0,1,0,22,0,1170,45,257,167,450,1,46,0,254,52,0,0,0,0,0,0,1,1,9,0,0,0,39,6,0,0,0,0,0,0,0,22,21,0,47,0,0,14,2,2,17
Philippe Coutinho,42,LIV,EPL,F/M,31,2243,28,3,19,2,0,0,13,7,1,3,4,106,38,18,126,37,65,7,43,15,0,35,23,18,36,1175,1401,5,6,130,71,147,0,0,43,20,7,63,18,6,0,0,57,0,2038,110,617,196,963,4,227,0,489,56,0,0,0,0,12,3,92,84,28,9,3,3,27,4,0,0,0,0,0,0,0,5,5,0,72,7,0,4,4,4,113
Nabil Fekir,48,OL,FRAN,F/M,32,2223,28,4,18,5,0,1,9,4,0,4,0,71,29,1,121,48,64,8,34,26,0,22,16,50,60,786,930,10,9,65,56,147,0,0,45,24,8,26,5,1,0,0,71,0,1500,134,370,182,642,0,143,0,411,55,2,2,0,0,17,6,79,72,32,9,3,1,32,3,0,0,0,0,0,0,0,0,0,0,42,3,0,24,4,7,86
Aleksandar Kolarov,39,MCI,EPL,M/D,29,2533,27,2,0,6,0,0,1,1,0,1,0,32,10,46,27,12,15,1,12,2,10,47,34,34,38,1570,1859,9,83,166,22,187,0,0,6,1,0,26,9,1,0,0,7,1,2418,24,294,102,749,6,46,0,365,200,0,0,0,0,1,1,2,2,8,7,4,1,27,8,0,0,0,0,0,0,0,156,151,0,121,1,0,0,0,0,30
Wendell,55,LEV,BUND,D,32,2527,27,5,4,8,1,1,2,2,1,1,1,18,7,78,58,14,27,2,19,6,11,96,70,45,33,1184,1481,4,37,172,20,185,0,0,7,1,1,11,6,1,0,0,15,0,2266,34,289,149,631,4,90,2,457,125,0,0,0,0,1,0,29,26,10,5,4,1,39,5,0,0,0,0,1,0,0,51,49,0,48,1,0,1,0,1,42
Didier Ndong,69,SUN,EPL,M,31,2519,27,4,3,5,0,0,1,0,0,0,0,16,5,49,38,7,16,1,16,0,8,83,62,37,28,841,1010,7,22,210,22,155,1,1,4,1,0,12,4,1,0,1,35,0,1454,19,196,162,458,6,55,0,297,82,0,0,0,0,1,0,1,1,8,0,0,0,48,5,0,0,0,0,1,0,0,35,35,0,57,0,0,4,1,0,32
Dario Lezcano,57,IGT,BUND,F/M,33,2516,27,6,14,4,0,0,6,3,0,1,2,59,24,20,2,0,29,4,26,0,0,28,21,69,136,468,641,0,104,81,34,278,0,0,40,20,6,19,4,0,0,2,80,0,1262,130,230,369,352,1,25,0,449,15,1,0,0,1,0,0,0,0,18,3,0,0,43,0,0,0,0,0,0,0,0,3,3,0,4,1,0,30,5,3,94
Marquinhos,27,PSG,FRAN,D,29,2500,27,2,0,1,0,0,3,0,0,0,0,15,4,39,2,1,8,0,8,0,12,47,34,11,11,1910,2040,1,50,162,3,108,0,1,13,4,3,2,0,0,0,0,7,0,2331,35,106,65,497,3,17,0,148,230,0,0,0,0,0,0,0,0,3,0,0,0,23,12,0,0,0,0,0,0,0,100,100,0,162,0,1,3,2,3,5
Hector Bellerin,44,ARS,EPL,D,33,2499,27,6,1,4,0,0,1,4,0,4,0,22,5,37,69,11,28,3,24,0,7,23,18,20,14,1179,1392,11,31,146,46,113,0,0,16,3,1,6,2,0,0,0,42,0,2068,94,395,132,737,13,98,0,394,62,0,0,0,0,0,0,0,0,32,0,0,0,34,10,0,0,0,0,0,0,0,46,44,0,21,2,1,0,1,1,59
Vincenzo Grifo,60,SCF,BUND,F/M,30,2490,27,3,5,1,0,0,6,8,1,5,3,83,32,36,144,44,71,6,26,37,2,32,26,12,37,801,1101,6,17,130,38,121,0,0,27,10,5,56,22,1,0,2,51,0,1718,63,314,168,556,2,237,0,572,40,1,1,0,0,15,5,111,98,34,27,10,0,49,4,0,0,0,0,0,0,0,19,18,0,35,6,0,11,2,3,90
Antonio Valencia,29,MUN,EPL,M/D,28,2483,27,1,1,5,0,0,1,3,1,2,1,9,4,42,142,41,31,3,28,0,7,67,42,33,17,1175,1370,41,22,180,37,143,0,0,6,4,1,3,0,0,0,0,14,0,2157,53,425,100,768,11,144,0,410,77,0,0,0,0,0,0,3,0,21,0,0,0,20,12,0,0,0,0,0,0,0,58,54,0,49,0,1,7,1,1,60
Chris Brunt,51,WBA,EPL,M/D,31,2478,27,4,4,5,0,0,3,4,1,2,2,38,11,33,176,44,40,6,23,13,4,36,26,17,9,664,907,20,27,126,17,87,0,0,12,4,2,26,7,1,0,0,16,0,1520,28,267,84,456,21,216,1,462,88,0,0,0,0,31,12,65,62,16,7,3,1,37,4,0,0,0,0,0,0,0,53,53,0,90,3,0,2,0,1,23
Danny Drink68er,63,LEI,EPL,M,29,2467,27,2,2,6,0,0,1,1,0,1,0,31,3,39,28,2,15,1,14,0,12,83,55,46,10,1350,1744,2,38,267,23,153,1,0,7,0,0,24,3,1,0,0,34,0,2192,28,384,179,771,6,58,1,508,134,0,0,0,0,1,0,1,0,13,1,0,0,44,6,0,0,0,0,0,0,0,53,52,0,106,1,0,1,0,0,29
Ander Herrera,29,MUN,EPL,M,31,2464,27,4,5,5,1,1,1,6,0,6,0,38,6,81,50,18,36,5,30,0,7,84,62,47,45,1830,2088,18,27,207,31,186,0,1,7,2,1,31,4,0,0,0,20,0,2607,28,506,156,1109,9,93,0,351,184,0,0,0,0,0,0,2,0,13,0,0,0,18,9,0,0,0,0,0,0,0,51,50,0,114,5,0,0,1,0,41
Jurado,50,ESP,LIGA,M,31,2459,27,4,7,1,0,0,3,4,1,3,1,35,12,20,58,19,29,3,19,6,1,39,33,9,47,1016,1226,12,6,199,45,137,1,0,15,5,2,20,7,1,0,0,44,0,1662,40,244,109,547,3,80,0,375,82,0,0,0,0,6,3,20,16,15,4,1,0,33,5,0,0,0,0,0,0,0,8,8,0,83,0,0,0,2,1,72
Joel Matip,42,LIV,EPL,D,29,2456,27,2,0,3,0,0,1,0,0,0,0,25,4,48,5,1,10,0,10,0,12,47,35,14,11,1485,1706,1,61,147,10,129,0,0,23,4,1,2,0,0,0,0,3,0,2065,41,209,67,602,4,20,0,250,238,0,0,0,0,0,0,0,0,9,0,0,0,25,9,0,0,0,0,1,0,0,148,141,0,91,1,0,0,2,1,14
Daniel Brosinski,55,M05,BUND,M,29,2454,27,2,1,6,0,0,1,2,2,1,1,34,9,75,73,16,31,2,16,13,3,42,31,19,33,759,1063,9,43,139,14,130,0,0,3,1,1,31,8,0,0,1,8,0,1720,19,235,120,412,7,169,0,514,106,1,1,0,0,6,1,21,19,18,6,2,0,46,5,0,0,0,0,0,0,0,35,31,0,91,0,1,0,0,1,35
