Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Keylor Navas,PSG,FRAN,G,29,2520,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,537,627,0,4,187,1,7,0,0,0,0,0,0,0,0,0,0,0,0,843,0,3,1,24,0,1,0,90,25,0,0,0,0,0,0,0,0,0,0,0,0,18,14,74,48,26,5,0,2,1,16,16,6,94,0,0,0,0,0,1
Neal Maupay,BHA,EPL,F,33,2517,29,4,11,1,0,1,8,2,0,2,0,71,26,13,11,5,32,6,30,0,0,20,8,27,44,510,650,5,21,84,24,108,0,0,57,22,8,14,4,0,0,0,48,0,1063,156,207,176,340,0,52,0,301,13,4,3,1,0,0,0,0,0,25,0,0,0,34,5,0,0,0,0,1,0,0,6,6,0,14,2,0,12,11,7,48
Rodrigo Battaglia,ALA,LIGA,M,32,2494,29,3,6,10,0,1,1,0,0,0,0,17,5,29,3,0,3,0,3,0,14,38,16,35,30,870,1034,0,45,139,18,129,1,0,10,3,0,7,2,1,0,0,15,0,1325,21,120,109,341,2,22,0,211,79,0,0,0,0,0,0,1,1,1,0,0,0,46,4,0,0,0,0,0,0,0,38,38,0,49,0,0,1,1,0,25
Clement Lenglet,BAR,LIGA,D,33,2476,29,4,4,7,2,2,1,0,0,0,0,11,5,33,5,0,9,1,9,0,12,36,21,50,31,2119,2300,0,61,164,8,134,1,0,8,3,1,3,2,0,0,0,5,1,2585,17,345,111,1004,6,30,0,206,239,0,0,0,0,0,0,0,0,2,0,0,0,29,8,0,0,0,0,2,0,0,65,65,0,92,1,0,6,3,1,11
Ezgjan Alioski,LEE,EPL,M/D,36,2463,29,7,10,7,0,0,2,3,0,2,1,25,8,23,62,14,28,4,24,1,2,74,31,39,44,1095,1377,14,40,146,11,168,0,2,14,6,2,11,2,0,0,0,15,0,2031,41,289,154,541,10,85,0,418,99,0,0,0,0,0,0,0,0,9,0,0,0,35,10,0,0,0,0,2,0,0,40,40,0,30,1,0,6,1,1,26
Maxwel Cornet,OL,FRAN,F/M,36,2454,29,7,18,5,0,0,2,5,0,4,1,21,11,43,82,13,25,6,18,2,5,70,41,30,32,1125,1393,12,41,178,23,166,0,2,13,7,2,8,4,0,0,2,15,0,2100,53,243,115,574,5,91,0,457,128,0,0,0,0,2,0,9,3,14,2,2,0,34,3,0,0,0,0,0,0,0,42,42,0,58,0,2,3,2,2,39
Abdoulaye Doucoure,EVE,EPL,M,29,2451,29,0,9,6,0,0,2,3,0,3,0,18,5,39,9,1,21,2,18,0,7,52,32,23,12,1140,1341,1,38,186,21,123,0,1,10,5,2,8,0,0,0,0,26,0,1680,35,229,108,521,6,33,0,289,72,0,0,0,0,0,0,1,0,3,0,0,0,36,7,0,0,0,0,0,0,0,25,25,0,38,3,0,0,1,2,33
Yvan Neyou Noupa,ASS,FRAN,M,31,2450,29,2,15,9,0,0,1,2,0,2,0,29,7,31,10,2,15,3,13,0,5,58,31,45,45,1115,1288,2,26,179,61,190,1,0,7,3,0,22,4,1,0,0,16,0,1683,24,189,120,475,0,28,0,250,111,0,0,0,0,1,0,0,0,8,1,0,0,37,3,0,0,0,0,0,0,0,13,13,0,53,0,0,0,1,0,74
Charalampos Lykogiannis,CAG,SERI,M/D,31,2429,29,2,14,6,2,2,4,2,0,2,0,28,8,32,118,21,14,1,7,5,13,34,21,29,24,635,870,11,59,121,13,128,0,0,12,3,1,16,5,3,0,0,9,0,1567,27,149,98,313,17,129,0,450,70,0,0,0,0,16,4,27,25,13,9,4,2,40,2,0,0,0,0,1,0,0,77,77,0,41,0,0,2,1,1,24
Santi Mina,CEL,LIGA,F,34,2422,29,5,14,4,0,0,12,3,0,3,0,45,22,6,9,1,15,4,12,0,3,31,13,63,62,432,600,1,103,82,10,203,0,0,37,20,10,8,2,2,0,3,30,0,978,73,137,249,275,1,23,0,298,21,1,1,0,0,0,0,0,0,10,1,0,0,42,3,0,0,0,0,0,0,0,16,16,0,12,0,0,11,10,7,25
