Player Name,Team,Goals Conceded by team per season,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,30,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,A66,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLR43,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Ganso,SEV,58,LIGA,M,8,524,7,1,5,0,0,0,2,0,0,0,0,7,3,2,5,3,8,0,6,2,0,15,11,5,11,281,341,1,2,42,4,32,0,0,5,3,2,2,0,0,0,0,8,0,434,11,94,35,177,0,11,0,90,16,0,0,0,0,0,0,4,3,2,0,0,0,2,1,0,0,0,0,0,0,0,4,4,0,7,1,0,0,1,2,8
Isaac Success,MAL,61,LIGA,F,9,496,7,2,6,0,0,0,0,1,0,1,0,8,1,5,10,2,7,3,6,0,0,9,7,15,26,79,133,2,3,41,23,61,0,0,5,0,0,3,1,0,0,0,11,0,279,27,27,53,50,0,20,0,119,2,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,2,0,6,0,0,38
Zdravko Kuzmanovic,MAL,61,LIGA,M,9,481,7,2,2,0,2,2,0,1,0,1,0,3,0,4,4,2,8,1,7,0,2,4,4,7,2,301,334,2,6,36,2,14,0,0,0,0,0,3,0,0,0,0,9,0,384,1,62,26,155,0,7,0,49,34,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,9,9,0,21,0,0,0,0,0,2
Jeff Reine-Adelaide,SCO,52,FRAN,F/M,10,443,7,3,7,0,0,0,0,0,0,0,0,4,2,2,0,0,5,0,5,0,2,13,8,7,14,121,152,0,8,28,22,57,0,0,2,1,0,2,1,0,0,0,21,0,275,15,55,58,83,5,6,0,71,10,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,4,0,3,1,0,1,0,0,31
Ibrahima Niane,MET,76,FRAN,F,30,833,6,24,4,1,0,0,2,1,0,0,1,39,14,3,15,3,9,1,8,0,0,6,5,14,28,187,252,3,30,45,17,80,0,0,18,7,2,21,7,0,0,0,16,0,467,38,76,90,146,3,15,0,156,5,0,0,0,0,0,0,0,0,8,0,0,0,22,0,0,0,0,0,0,0,0,5,5,0,4,0,0,2,2,1,38
Dawid Kownacki,SAM,60,SERI,F,22,809,6,16,3,0,0,0,5,1,0,1,0,21,11,1,16,1,8,2,7,0,0,7,6,15,16,185,245,1,31,24,8,59,0,0,18,10,5,3,1,0,0,1,16,0,378,40,71,68,118,1,22,0,115,4,0,0,0,0,0,0,0,0,8,0,0,0,19,0,0,0,0,0,0,0,0,4,4,0,4,0,0,1,1,1,11
Sergio Mora,GET,33,LIGA,M,26,799,6,20,4,5,0,0,0,0,0,0,0,6,0,15,4,1,6,0,6,0,2,21,15,15,6,301,395,1,12,55,0,39,0,0,2,0,0,4,0,0,0,0,2,0,490,7,74,50,182,0,10,0,108,43,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,11,11,0,18,0,0,0,0,0,1
Stephane Omeonga,GEN,43,SERI,M,19,783,6,13,1,2,0,1,0,0,0,0,0,14,4,5,15,3,9,0,9,0,1,25,15,16,9,273,319,3,8,59,18,60,0,0,5,2,0,9,2,0,0,0,17,0,493,11,90,63,178,0,13,0,105,14,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,6,6,0,12,0,0,0,0,0,24
Bruno Gaspar,FIO,46,SERI,M/D,15,775,6,9,1,2,0,0,0,2,0,2,0,1,0,9,36,7,10,1,8,0,1,20,11,9,9,375,439,7,7,36,5,41,0,0,0,0,0,1,0,0,0,0,7,0,694,9,102,34,222,6,36,0,141,54,0,0,0,0,0,0,0,0,9,0,0,0,14,1,0,0,0,0,0,0,0,19,19,0,15,0,0,1,0,0,9
Loic Remy,LPM,74,LIGA,F,12,761,6,6,0,1,0,0,5,0,0,0,0,32,16,1,7,1,5,0,5,0,0,4,3,8,7,184,231,1,5,22,19,35,0,0,25,14,5,7,2,0,0,0,16,0,372,54,52,38,125,0,12,0,106,14,0,0,0,0,0,0,0,0,12,1,1,0,20,1,0,0,0,0,0,0,0,2,2,0,10,0,0,3,5,2,30
